,conjunction set training time,decision tree training time,decision_tree_accuracy,decision_tree_auc,decision_tree_average_depth,decision_tree_max_depth,decision_tree_min_depth,df_name,ensemble max_depth,ensemble_accuracy,ensemble_auc,ensemble_average_depth,ensemble_min_depth,filter_approach,iteration,new model training time,new_model_accuracy,new_model_auc,new_model_average_depth,new_model_max_depth,new_model_min_depth,number of branches per iteration,number_of_branches,number_of_estimators,probability_threshold,random forest training time,sklearn_vs_our_ensemble_predictions_disagreements
0,333111,338255,0.9512195121951219,0.9768114217727543,3.0,3,3,breast cancer,279,0.9512195121951219,0.9935157644259369,205.0487804878049,177,probability,0,288476,0.9073170731707317,0.9357763236168947,14.214634146341464,21,5,"[273, 966, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4570,50,4000,91930,0
1,644476,222175,0.9609756097560975,0.9935276621058894,2.873170731707317,3,2,breast cancer,278,0.9658536585365853,0.9965853658536585,206.1560975609756,189,probability,1,841017,0.9512195121951219,0.960059488399762,14.8,22,4,"[199, 1073, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4522,50,4000,84639,0
2,593351,238304,0.9219512195121952,0.9200475907198096,2.8292682926829267,5,2,breast cancer,290,0.9707317073170731,0.9952647233789411,212.22439024390243,175,probability,2,236308,0.9414634146341463,0.9425817965496728,16.29268292682927,25,5,"[276, 1796, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4596,50,4000,78131,0
3,434848,269556,0.9707317073170731,0.9837239738251041,3.078048780487805,5,2,breast cancer,281,0.9658536585365853,0.9898036882807852,207.37073170731708,177,probability,3,582345,0.9365853658536586,0.983723973825104,12.195121951219512,26,3,"[156, 1300, 3185, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4570,50,4000,138598,0
4,520943,253949,0.9170731707317074,0.9656632956573468,3.4926829268292683,6,2,breast cancer,281,0.975609756097561,0.9943367043426532,212.16585365853658,170,probability,4,220672,0.8439024390243902,0.9375014872099939,15.22439024390244,23,3,"[275, 1487, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4467,50,4000,78127,0
5,727554,238783,0.9219512195121952,0.9423200475907197,4.458536585365854,5,3,breast cancer,281,0.975609756097561,0.9962998215348007,209.33170731707318,175,probability,5,833723,0.9609756097560975,0.9682093991671624,15.46829268292683,24,4,"[174, 1113, 3572, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4554,50,4000,69013,0
6,321728,247084,0.9365853658536586,0.965520523497918,2.4292682926829268,3,2,breast cancer,287,0.9560975609756097,0.9910053539559786,196.46341463414635,181,probability,6,943035,0.9170731707317074,0.9612611540749554,17.536585365853657,27,4,"[203, 890, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4393,50,4000,69015,0
7,676476,269240,0.926829268292683,0.926829268292683,3.0682926829268293,8,2,breast cancer,274,0.9707317073170731,0.9871029149315883,194.73170731707316,155,probability,7,733517,0.9317073170731708,0.9572159428911363,12.302439024390244,26,5,"[116, 938, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4632,50,4000,76559,0
8,568211,263039,0.9560975609756097,0.9767757287328971,3.0,3,3,breast cancer,297,0.9707317073170731,0.9951338488994645,214.39512195121952,177,probability,8,977736,0.9414634146341463,0.969946460440214,14.331707317073171,23,4,"[281, 2403, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4643,50,4000,84640,0
9,6976,253929,0.9609756097560975,0.9604045211183818,4.092682926829268,5,4,breast cancer,278,0.9512195121951219,0.9934919690660322,200.30243902439025,177,probability,9,887491,0.8975609756097561,0.919190957763236,11.0,25,3,"[256, 1460, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000]",4468,50,4000,81637,0
